"year","state","sector","source","carbdiox_millmtrcton"
1980,"alabama","Residential","Coal",0.1
1980,"alabama","Residential","Petroleum Products",0.6
1980,"alabama","Residential","Natural Gas",2.9
1980,"alabama","Residential","All",3.6
1980,"alabama","Commercial","Coal",0.4
1980,"alabama","Commercial","Petroleum Products",0.6
1980,"alabama","Commercial","Natural Gas",1.6
1980,"alabama","Commercial","All",2.6
1980,"alabama","Industrial","Coal",17.1
1980,"alabama","Industrial","Petroleum Products",5.3
1980,"alabama","Industrial","Natural Gas",9.3
1980,"alabama","Industrial","All",31.8
1980,"alabama","Transportation","Coal",0
1980,"alabama","Transportation","Petroleum Products",23.9
1980,"alabama","Transportation","Natural Gas",0.9
1980,"alabama","Transportation","All",24.8
1980,"alabama","Electric Power","Coal",43.9
1980,"alabama","Electric Power","Petroleum Products",0.1
1980,"alabama","Electric Power","Natural Gas",0.1
1980,"alabama","Electric Power","All",44.1
1980,"alabama","All","Coal",61.6
1980,"alabama","All","Petroleum Products",30.5
1980,"alabama","All","Natural Gas",14.8
1980,"alabama","All","All",106.9
1981,"alabama","Residential","Coal",0
1981,"alabama","Residential","Petroleum Products",0.6
1981,"alabama","Residential","Natural Gas",2.8
1981,"alabama","Residential","All",3.4
1981,"alabama","Commercial","Coal",0.2
1981,"alabama","Commercial","Petroleum Products",0.8
1981,"alabama","Commercial","Natural Gas",1.5
1981,"alabama","Commercial","All",2.4
1981,"alabama","Industrial","Coal",14.7
1981,"alabama","Industrial","Petroleum Products",5
1981,"alabama","Industrial","Natural Gas",9.6
1981,"alabama","Industrial","All",29.3
1981,"alabama","Transportation","Coal",0
1981,"alabama","Transportation","Petroleum Products",23.2
1981,"alabama","Transportation","Natural Gas",1
1981,"alabama","Transportation","All",24.2
1981,"alabama","Electric Power","Coal",43.9
1981,"alabama","Electric Power","Petroleum Products",0
1981,"alabama","Electric Power","Natural Gas",0.1
1981,"alabama","Electric Power","All",44.1
1981,"alabama","All","Coal",58.8
1981,"alabama","All","Petroleum Products",29.6
1981,"alabama","All","Natural Gas",14.9
