"state","sector","source","year","bill.btu"
"alabama","Residential","All",2015,352582
"alabama","Residential","All",2014,378733
"alabama","Residential","All",2013,358466
"alabama","Residential","All",2012,338028
"alabama","Residential","All",2011,376547
"alabama","Residential","All",2010,417980
"alabama","Residential","All",2009,372767
"alabama","Residential","All",2008,388079
"alabama","Residential","All",2007,394472
"alabama","Residential","All",2006,392815
"alabama","Residential","All",2005,384009
"alabama","Residential","All",2004,378715
"alabama","Residential","All",2003,373748
"alabama","Residential","All",2002,386141
"alabama","Residential","All",2001,366690
"alabama","Residential","All",2000,385970
"alabama","Residential","All",1999,362693
"alabama","Residential","All",1998,363487
"alabama","Residential","All",1997,338512
"alabama","Residential","All",1996,360571
"alabama","Residential","All",1995,338673
"alabama","Residential","All",1994,326405
"alabama","Residential","All",1993,325100
"alabama","Residential","All",1992,308396
"alabama","Residential","All",1991,306522
"alabama","Residential","All",1990,303712
"alabama","Residential","All",1989,307934
"alabama","Residential","All",1988,299596
"alabama","Residential","All",1987,294335
"alabama","Residential","All",1986,283907
"alabama","Residential","All",1985,275387
"alabama","Residential","All",1984,278741
"alabama","Residential","All",1983,264711
"alabama","Residential","All",1982,267637
"alabama","Residential","All",1981,262297
"alabama","Residential","All",1980,272402
"alaska","Residential","All",2015,49110
"alaska","Residential","All",2014,47858
"alaska","Residential","All",2013,48860
"alaska","Residential","All",2012,54533
"alaska","Residential","All",2011,53623
"alaska","Residential","All",2010,51829
"alaska","Residential","All",2009,53541
"alaska","Residential","All",2008,53667
"alaska","Residential","All",2007,53741
"alaska","Residential","All",2006,59556
"alaska","Residential","All",2005,53523
"alaska","Residential","All",2004,55874
"alaska","Residential","All",2003,52810
"alaska","Residential","All",2002,52028
"alaska","Residential","All",2001,54044
"alaska","Residential","All",2000,50779
"alaska","Residential","All",1999,52226
"alaska","Residential","All",1998,47563
"alaska","Residential","All",1997,48843
"alaska","Residential","All",1996,50874
"alaska","Residential","All",1995,50321
"alaska","Residential","All",1994,49236
"alaska","Residential","All",1993,47942
"alaska","Residential","All",1992,46911
"alaska","Residential","All",1991,45622
"alaska","Residential","All",1990,47409
"alaska","Residential","All",1989,46207
"alaska","Residential","All",1988,41824
"alaska","Residential","All",1987,42041
"alaska","Residential","All",1986,43770
"alaska","Residential","All",1985,46846
"alaska","Residential","All",1984,45550
"alaska","Residential","All",1983,40385
"alaska","Residential","All",1982,40248
"alaska","Residential","All",1981,34830
"alaska","Residential","All",1980,34590
"arizona","Residential","All",2015,383837
"arizona","Residential","All",2014,377759
"arizona","Residential","All",2013,389666
"arizona","Residential","All",2012,378720
"arizona","Residential","All",2011,390863
"arizona","Residential","All",2010,376076
"arizona","Residential","All",2009,373833
"arizona","Residential","All",2008,385442
"arizona","Residential","All",2007,394009
"arizona","Residential","All",2006,374050
"arizona","Residential","All",2005,359577
"arizona","Residential","All",2004,347467
"arizona","Residential","All",2003,336690
"arizona","Residential","All",2002,325493
"arizona","Residential","All",2001,331329
"arizona","Residential","All",2000,323206
