"year","area","code","currency","gdp"
1963,"Alabama","GDP_SAS-1","millions of current dollars",7343
1963,"Alabama","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Alabama","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Alaska","GDP_SAS-1","millions of current dollars",1083
1963,"Alaska","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Alaska","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Arizona","GDP_SAS-1","millions of current dollars",4482
1963,"Arizona","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Arizona","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Arkansas","GDP_SAS-1","millions of current dollars",3791
1963,"Arkansas","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Arkansas","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"California","GDP_SAS-1","millions of current dollars",67809
1963,"California","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"California","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Colorado","GDP_SAS-1","millions of current dollars",5925
1963,"Colorado","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Colorado","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Connecticut","GDP_SAS-1","millions of current dollars",9877
1963,"Connecticut","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Connecticut","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Delaware","GDP_SAS-1","millions of current dollars",1885
1963,"Delaware","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Delaware","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"District of Columbia","GDP_SAS-1","millions of current dollars",5137
1963,"District of Columbia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"District of Columbia","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Far West","GDP_SAS-1","millions of current dollars",89955
1963,"Far West","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Far West","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Florida","GDP_SAS-1","millions of current dollars",14684
1963,"Florida","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Florida","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Georgia","GDP_SAS-1","millions of current dollars",10318
1963,"Georgia","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Georgia","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Great Lakes","GDP_SAS-1","millions of current dollars",131628
1963,"Great Lakes","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Great Lakes","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Hawaii","GDP_SAS-1","millions of current dollars",2367
1963,"Hawaii","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Hawaii","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Idaho","GDP_SAS-1","millions of current dollars",1841
1963,"Idaho","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Idaho","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Illinois","GDP_SAS-1","millions of current dollars",39514
1963,"Illinois","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Illinois","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Indiana","GDP_SAS-1","millions of current dollars",15636
1963,"Indiana","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Indiana","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Iowa","GDP_SAS-1","millions of current dollars",7921
1963,"Iowa","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Iowa","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Kansas","GDP_SAS-1","millions of current dollars",6135
1963,"Kansas","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Kansas","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Kentucky","GDP_SAS-1","millions of current dollars",8355
1963,"Kentucky","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Kentucky","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Louisiana","GDP_SAS-1","millions of current dollars",9659
1963,"Louisiana","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Louisiana","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Maine","GDP_SAS-1","millions of current dollars",2420
1963,"Maine","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Maine","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Maryland","GDP_SAS-1","millions of current dollars",10261
1963,"Maryland","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Maryland","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Massachusetts","GDP_SAS-1","millions of current dollars",17415
1963,"Massachusetts","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Massachusetts","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Michigan","GDP_SAS-1","millions of current dollars",30466
1963,"Michigan","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Michigan","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Mideast","GDP_SAS-1","millions of current dollars",145844
1963,"Mideast","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Mideast","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Minnesota","GDP_SAS-1","millions of current dollars",10745
1963,"Minnesota","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Minnesota","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Mississippi","GDP_SAS-1","millions of current dollars",4425
1963,"Mississippi","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Mississippi","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Missouri","GDP_SAS-1","millions of current dollars",13613
1963,"Missouri","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Missouri","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Montana","GDP_SAS-1","millions of current dollars",1974
1963,"Montana","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Montana","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Nebraska","GDP_SAS-1","millions of current dollars",4262
1963,"Nebraska","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Nebraska","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Nevada","GDP_SAS-1","millions of current dollars",1819
1963,"Nevada","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Nevada","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"New England","GDP_SAS-1","millions of current dollars",35042
1963,"New England","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"New England","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"New Hampshire","GDP_SAS-1","millions of current dollars",1651
1963,"New Hampshire","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"New Hampshire","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"New Jersey","GDP_SAS-1","millions of current dollars",23388
1963,"New Jersey","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"New Jersey","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"New Mexico","GDP_SAS-1","millions of current dollars",3030
1963,"New Mexico","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"New Mexico","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"New York","GDP_SAS-1","millions of current dollars",70640
1963,"New York","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"New York","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"North Carolina","GDP_SAS-1","millions of current dollars",12639
1963,"North Carolina","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"North Carolina","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"North Dakota","GDP_SAS-1","millions of current dollars",1624
1963,"North Dakota","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"North Dakota","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Ohio","GDP_SAS-1","millions of current dollars",33270
1963,"Ohio","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Ohio","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Oklahoma","GDP_SAS-1","millions of current dollars",6151
1963,"Oklahoma","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Oklahoma","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Oregon","GDP_SAS-1","millions of current dollars",5707
1963,"Oregon","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Oregon","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Pennsylvania","GDP_SAS-1","millions of current dollars",34533
1963,"Pennsylvania","RGDP_SAS-1","millions of chained 1997 dollars",NA
1963,"Pennsylvania","PCRGDP_SAS-1","chained 1997 dollars",NA
1963,"Plains","GDP_SAS-1","millions of current dollars",45909
1963,"Plains","RGDP_SAS-1","millions of chained 1997 dollars",NA
