"state","year","sector","source","carbdiox_millmtrcton","bill.btu","gdp.mill.curr","population","region","division"
"alabama",1980,"All","All",106.9,1645058,36142,3899671,"south","east south cenral"
"alabama",1980,"All","Coal",61.6,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"All","Natural Gas",14.8,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"All","Petroleum Products",30.5,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Commercial","All",2.6,127020,36142,3899671,"south","east south cenral"
"alabama",1980,"Commercial","Coal",0.4,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Commercial","Natural Gas",1.6,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Commercial","Petroleum Products",0.6,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Electric Power","All",44.1,824626,36142,3899671,"south","east south cenral"
"alabama",1980,"Electric Power","Coal",43.9,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Electric Power","Natural Gas",0.1,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Electric Power","Petroleum Products",0.1,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Industrial","All",31.8,895755,36142,3899671,"south","east south cenral"
"alabama",1980,"Industrial","Coal",17.1,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Industrial","Natural Gas",9.3,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Industrial","Petroleum Products",5.3,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Residential","All",3.6,272402,36142,3899671,"south","east south cenral"
"alabama",1980,"Residential","Coal",0.1,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Residential","Natural Gas",2.9,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Residential","Petroleum Products",0.6,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Transportation","All",24.8,349881,36142,3899671,"south","east south cenral"
"alabama",1980,"Transportation","Coal",0,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Transportation","Natural Gas",0.9,NA,36142,3899671,"south","east south cenral"
"alabama",1980,"Transportation","Petroleum Products",23.9,NA,36142,3899671,"south","east south cenral"
"alabama",1981,"All","All",103.3,1604167,40257,3918526,"south","east south cenral"
"alabama",1981,"All","Coal",58.8,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"All","Natural Gas",14.9,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"All","Petroleum Products",29.6,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Commercial","All",2.4,144998,40257,3918526,"south","east south cenral"
"alabama",1981,"Commercial","Coal",0.2,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Commercial","Natural Gas",1.5,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Commercial","Petroleum Products",0.8,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Electric Power","All",44.1,794278,40257,3918526,"south","east south cenral"
"alabama",1981,"Electric Power","Coal",43.9,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Electric Power","Natural Gas",0.1,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Electric Power","Petroleum Products",0,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Industrial","All",29.3,854756,40257,3918526,"south","east south cenral"
"alabama",1981,"Industrial","Coal",14.7,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Industrial","Natural Gas",9.6,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Industrial","Petroleum Products",5,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Residential","All",3.4,262297,40257,3918526,"south","east south cenral"
"alabama",1981,"Residential","Coal",0,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Residential","Natural Gas",2.8,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Residential","Petroleum Products",0.6,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Transportation","All",24.2,342115,40257,3918526,"south","east south cenral"
"alabama",1981,"Transportation","Coal",0,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Transportation","Natural Gas",1,NA,40257,3918526,"south","east south cenral"
"alabama",1981,"Transportation","Petroleum Products",23.2,NA,40257,3918526,"south","east south cenral"
"alabama",1982,"All","All",90.7,1499225,41778,3925328,"south","east south cenral"
"alabama",1982,"All","Coal",47.8,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"All","Natural Gas",13.4,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"All","Petroleum Products",29.5,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Commercial","All",2.3,145627,41778,3925328,"south","east south cenral"
"alabama",1982,"Commercial","Coal",0.2,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Commercial","Natural Gas",1.4,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Commercial","Petroleum Products",0.6,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Electric Power","All",35.3,795197,41778,3925328,"south","east south cenral"
"alabama",1982,"Electric Power","Coal",35.2,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Electric Power","Natural Gas",0.1,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Electric Power","Petroleum Products",0,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Industrial","All",26.2,752786,41778,3925328,"south","east south cenral"
"alabama",1982,"Industrial","Coal",12.3,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Industrial","Natural Gas",8.4,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Industrial","Petroleum Products",5.5,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Residential","All",3.4,267637,41778,3925328,"south","east south cenral"
"alabama",1982,"Residential","Coal",0,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Residential","Natural Gas",2.6,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Residential","Petroleum Products",0.7,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Transportation","All",23.5,333175,41778,3925328,"south","east south cenral"
"alabama",1982,"Transportation","Coal",0,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Transportation","Natural Gas",0.9,NA,41778,3925328,"south","east south cenral"
"alabama",1982,"Transportation","Petroleum Products",22.7,NA,41778,3925328,"south","east south cenral"
"alabama",1983,"All","All",89.7,1446066,45679,3934100,"south","east south cenral"
"alabama",1983,"All","Coal",49.9,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"All","Natural Gas",12.2,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"All","Petroleum Products",27.7,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Commercial","All",2.5,149777,45679,3934100,"south","east south cenral"
"alabama",1983,"Commercial","Coal",0.3,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Commercial","Natural Gas",1.5,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Commercial","Petroleum Products",0.8,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Electric Power","All",38.8,804217,45679,3934100,"south","east south cenral"
"alabama",1983,"Electric Power","Coal",38.7,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Electric Power","Natural Gas",0,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Electric Power","Petroleum Products",0.1,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Industrial","All",22,707128,45679,3934100,"south","east south cenral"
"alabama",1983,"Industrial","Coal",10.9,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Industrial","Natural Gas",7.3,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Industrial","Petroleum Products",3.8,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Residential","All",3.5,264711,45679,3934100,"south","east south cenral"
"alabama",1983,"Residential","Coal",0,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Residential","Natural Gas",2.7,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Residential","Petroleum Products",0.8,NA,45679,3934100,"south","east south cenral"
"alabama",1983,"Transportation","All",22.9,324450,45679,3934100,"south","east south cenral"
