"year","state","population"
1980,"alaska",404680
1980,"alabama",3899671
1980,"arkansas",2288809
1980,"arizona",2735840
1980,"california",23792840
1980,"colorado",2909545
1980,"connecticut",3114221
1980,"district of columbia",637161
1980,"delaware",594936
1980,"florida",9841159
1980,"georgia",5484427
1980,"hawaii",961525
1980,"iowa",2915562
1980,"idaho",948582
1980,"illinois",11435454
1980,"indiana",5492740
1980,"kansas",2370088
1980,"kentucky",3665364
1980,"louisiana",4221583
1980,"massachusetts",5748441
1980,"maryland",4226191
1980,"maine",1127825
1980,"michigan",9256676
1980,"minnesota",4086746
1980,"missouri",4923025
1980,"mississippi",2524011
1980,"montana",788754
1980,"north carolina",5896178
1980,"north dakota",654501
1980,"nebraska",1572854
1980,"new hampshire",924802
1980,"new jersey",7376972
1980,"new mexico",1309108
1980,"nevada",810232
1980,"new york",17566376
1980,"ohio",10803551
1980,"oklahoma",3040067
1980,"oregon",2642128
1980,"pennsylvania",11872347
1980,"rhode island",949207
1980,"south carolina",3132387
1980,"south dakota",690713
1980,"tennessee",4600705
1980,"texas",14337755
1980,"utah",1473171
1980,"virginia",5367648
1980,"vermont",512824
1980,"washington",4155198
1980,"wisconsin",4713991
1980,"west virginia",1952874
1980,"wyoming",474381
1981,"alaska",418519
1981,"alabama",3918526
1981,"arkansas",2293196
1981,"arizona",2810110
1981,"california",24285898
1981,"colorado",2977917
1981,"connecticut",3128849
1981,"district of columbia",636891
1981,"delaware",595974
1981,"florida",10192814
1981,"georgia",5568420
1981,"hawaii",978201
1981,"iowa",2908003
1981,"idaho",962244
1981,"illinois",11443511
1981,"indiana",5480482
1981,"kansas",2384813
1981,"kentucky",3670396
1981,"louisiana",4283312
1981,"massachusetts",5768702
1981,"maryland",4261930
1981,"maine",1133039
1981,"michigan",9209352
1981,"minnesota",4111752
1981,"missouri",4932103
1981,"mississippi",2539038
1981,"montana",795330
1981,"north carolina",5956718
1981,"north dakota",659494
1981,"nebraska",1578481
1981,"new hampshire",936630
1981,"new jersey",7407508
1981,"new mexico",1332768
1981,"nevada",847644
1981,"new york",17567730
1981,"ohio",10788342
1981,"oklahoma",3096133
1981,"oregon",2667999
1981,"pennsylvania",11858669
1981,"rhode island",953015
1981,"south carolina",3179269
1981,"south dakota",689582
1981,"tennessee",4627668
1981,"texas",14746340
1981,"utah",1515483
1981,"virginia",5444155
1981,"vermont",515588
1981,"washington",4235733
1981,"wisconsin",4726315
1981,"west virginia",1954105
1981,"wyoming",491700
1982,"alaska",449608
1982,"alabama",3925328
1982,"arkansas",2294297
1982,"arizona",2889877
1982,"california",24820025
1982,"colorado",3061599
1982,"connecticut",3139008
1982,"district of columbia",634174
1982,"delaware",599149
1982,"florida",10471438
1982,"georgia",5649788
1982,"hawaii",993775
1982,"iowa",2888209
1982,"idaho",973714
1982,"illinois",11423449
1982,"indiana",5467946
1982,"kansas",2401220
1982,"kentucky",3683427
1982,"louisiana",4352625
1982,"massachusetts",5771203
1982,"maryland",4282946
1982,"maine",1136698
1982,"michigan",9115204
1982,"minnesota",4131469
1982,"missouri",4929471
1982,"mississippi",2556810
1982,"montana",803966
1982,"north carolina",6019166
1982,"north dakota",668960
1982,"nebraska",1581747
1982,"new hampshire",947716
1982,"new jersey",7431031
1982,"new mexico",1363854
1982,"nevada",881550
1982,"new york",17589772
1982,"ohio",10757118
1982,"oklahoma",3206103
1982,"oregon",2664930
1982,"pennsylvania",11845214
1982,"rhode island",954178
1982,"south carolina",3207614
1982,"south dakota",690586
1982,"tennessee",4646050
1982,"texas",15331379
1982,"utah",1558322
1982,"virginia",5492848
1982,"vermont",519113
1982,"washington",4276533
1982,"wisconsin",4728879
1982,"west virginia",1949642
1982,"wyoming",506378
1983,"alaska",488423
1983,"alabama",3934100
1983,"arkansas",2305796
1983,"arizona",2968912
1983,"california",25360028
1983,"colorado",3133614
1983,"connecticut",3162366
1983,"district of columbia",632433
1983,"delaware",605455
1983,"florida",10749908
1983,"georgia",5728301
1983,"hawaii",1012718
1983,"iowa",2870580
1983,"idaho",981895
1983,"illinois",11408779
1983,"indiana",5450407
1983,"kansas",2415565
1983,"kentucky",3694465
1983,"louisiana",4395334
1983,"massachusetts",5799434
1983,"maryland",4313319
1983,"maine",1144777
1983,"michigan",9047772
1983,"minnesota",4141479
1983,"missouri",4943767
1983,"mississippi",2567731
1983,"montana",814009
1983,"north carolina",6077149
1983,"north dakota",676664
