"year","state","gdp.nominal","gdp.adjusted"
1980,"alabama",36142,288051
1980,"alaska",15282,121797
1980,"arizona",30764,245189
1980,"arkansas",20276,161599
1980,"california",327958,2613825
1980,"colorado",38332,305506
1980,"connecticut",40770,324936
1980,"delaware",7898,62947
1980,"district of columbia",19862,158300
1980,"florida",97899,780255
1980,"georgia",56229,448145
1980,"hawaii",13380,106638
1980,"idaho",9916,79030
1980,"illinois",145264,1157754
1980,"indiana",58870,469193
1980,"iowa",34582,275618
1980,"kansas",28298,225535
1980,"kentucky",37017,295025
1980,"louisiana",63925,509482
1980,"maine",10263,81796
1980,"maryland",47522,378750
1980,"massachusetts",69684,555381
1980,"michigan",104134,829947
1980,"minnesota",50219,400245
1980,"mississippi",21353,170183
1980,"missouri",52420,417787
1980,"montana",8925,71132
1980,"nebraska",18294,145803
1980,"nevada",11633,92715
1980,"new hampshire",9263,73826
1980,"new jersey",88334,704021
1980,"new mexico",15731,125376
1980,"new york",235746,1878895
1980,"north carolina",58791,468564
1980,"north dakota",7645,60930
1980,"ohio",121228,966187
1980,"oklahoma",37608,299735
1980,"oregon",30001,239107
1980,"pennsylvania",127181,1013632
1980,"rhode island",9626,76719
1980,"south carolina",27607,220027
1980,"south dakota",6760,53877
1980,"tennessee",44972,358426
1980,"texas",203073,1618491
1980,"utah",15311,122028
1980,"vermont",4856,38702
1980,"virginia",58669,467591
1980,"washington",52682,419875
1980,"west virginia",18408,146711
1980,"wisconsin",52899,421605
1980,"wyoming",10428,83111
1981,"alabama",40257,320848
1981,"alaska",21824,173937
1981,"arizona",34269,273123
1981,"arkansas",22891,182441
1981,"california",368808,2939399
1981,"colorado",43974,350472
1981,"connecticut",45642,363766
1981,"delaware",8839,70446
1981,"district of columbia",21740,173267
1981,"florida",112167,893970
1981,"georgia",63751,508095
1981,"hawaii",14640,116680
1981,"idaho",10677,85095
1981,"illinois",159649,1272402
1981,"indiana",64724,515850
1981,"iowa",38272,305027
1981,"kansas",31978,254864
1981,"kentucky",41068,327311
1981,"louisiana",77201,615291
1981,"maine",11255,89702
1981,"maryland",53117,423342
1981,"massachusetts",77833,620329
1981,"michigan",114676,913967
1981,"minnesota",55404,441569
1981,"mississippi",24023,191463
1981,"missouri",57763,460371
1981,"montana",10201,81301
1981,"nebraska",20863,166278
1981,"nevada",13203,105227
1981,"new hampshire",10480,83525
1981,"new jersey",98755,787077
1981,"new mexico",18511,147532
1981,"new york",261840,2086864
1981,"north carolina",65869,524975
1981,"north dakota",9954,79333
1981,"ohio",132782,1058272
1981,"oklahoma",45430,362077
1981,"oregon",31590,251772
1981,"pennsylvania",138573,1104426
1981,"rhode island",10729,85510
1981,"south carolina",31048,247452
1981,"south dakota",7661,61058
1981,"tennessee",50265,400612
1981,"texas",245235,1954522
1981,"utah",17320,138040
1981,"vermont",5436,43324
1981,"virginia",66179,527446
1981,"washington",58918,469576
1981,"west virginia",19837,158100
1981,"wisconsin",57494,458227
1981,"wyoming",12703,101242
1982,"alabama",41778,332970
1982,"alaska",23461,186984
1982,"arizona",35794,285278
1982,"arkansas",23527,187510
1982,"california",393788,3138490
1982,"colorado",47654,379802
1982,"connecticut",50196,400062
1982,"delaware",9498,75699
1982,"district of columbia",22958,182975
1982,"florida",122282,974587
1982,"georgia",68451,545554
1982,"hawaii",15740,125447
1982,"idaho",10689,85191
1982,"illinois",164267,1309207
1982,"indiana",64982,517906
1982,"iowa",37289,297193
1982,"kansas",33491,266923
1982,"kentucky",42184,336206
1982,"louisiana",78067,622193
1982,"maine",12115,96556
1982,"maryland",56339,449021
1982,"massachusetts",83777,667702
1982,"michigan",115166,917873
1982,"minnesota",57472,458051
1982,"mississippi",24614,196173
1982,"missouri",60699,483771
1982,"montana",10206,81341
1982,"nebraska",21265,169482
1982,"nevada",13885,110663
1982,"new hampshire",11407,90913
1982,"new jersey",105759,842899
